"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.7337627	0.6048295	0.4643123	0.1535654	0.0813993	0.0934484	0.0271784	0.5002206	0.1700318	0.6247322
0.7929720	0.5095489	0.4111749	0.1567122	0.2087850	0.2485020	0.0094205	0.4291373	0.1155608	0.3967793
0.7718579	0.6886984	0.2754534	0.1943695	0.1843468	0.4190367	0.0248736	0.2603402	0.1254005	0.3220576
0.6560507	0.6391251	0.2472888	0.2107480	0.3205404	0.4756634	0.0546455	0.1728095	0.1926040	0.3780545
0.7629795	0.5077966	0.0887402	0.3960233	0.2353642	0.6338839	0.1000086	0.1795366	0.5869816	0.4276217
0.5079575	0.5185762	0.1933113	0.5620700	0.2798618	0.6858642	0.1659589	0.2246384	0.4917061	0.3449484
0.3456871	0.4171021	0.1544789	0.6801408	0.3100436	0.6420086	0.1421894	0.1322000	0.6626559	0.4215826
0.3306156	0.4552498	0.1850312	0.6853158	0.3488833	0.6090729	0.2089033	0.1945667	0.6227961	0.3630223
0.2189578	0.3769589	0.1198756	0.6072668	0.2996107	0.6897843	0.1724267	0.0975289	0.7424368	0.3376796
0.2255381	0.4699844	0.1010050	0.6356838	0.2916280	0.6584580	0.2498361	0.1366965	0.6131479	0.3252247
0.2829362	0.4907957	0.0905658	0.6331058	0.2733654	0.8148860	0.1899118	0.1186882	0.6555833	0.3674116
0.1797507	0.3628349	0.1866625	0.7079460	0.1133345	0.6424798	0.2468079	0.0950740	0.7216798	0.6688979
0.2891588	0.3976324	0.3284364	0.4162635	0.0826884	0.5467177	0.1729202	0.1353189	0.8052905	0.7416548
0.2056007	0.4323945	0.2910667	0.3466827	0.0449031	0.4605840	0.1667411	0.1513007	0.6331774	0.6228871
0.2518923	0.4427296	0.2735828	0.2026224	0.0907180	0.2335010	0.1457750	0.1468956	0.6081049	0.5755023
0.2398927	0.4325082	0.4352115	0.1669657	0.0369466	0.1147004	0.1006860	0.2626762	0.6109259	0.7279572
0.2389851	0.6425913	0.4932052	0.1932176	0.0334902	0.0559279	0.0414617	0.4609646	0.3614091	0.7158481
0.4923252	0.5942447	0.3442910	0.1948257	0.0726155	0.0777657	0.0329961	0.5512967	0.2589166	0.7249322
0.6560876	0.7142134	0.4531458	0.2266800	0.0590028	0.0626074	0.0787728	0.6096523	0.2746417	0.8817825
0.5091502	0.6477703	0.4852440	0.1888674	0.0811217	0.0514610	0.0111701	0.6412587	0.2102886	0.6864717
0.7025527	0.6165971	0.3719130	0.1834832	0.0859556	0.0508523	0.0422171	0.5742368	0.1975185	0.5919605
